month_key,initials,record_type,day,segment,time,fixed_bucket,num_buckets,percent_A,percent_B,percent_C,percent_D,percent_E,percent_F,percent_G,percent_H,percent_I,percent_J
2026-04,KPPF,meta,,,,,2,20.00,80.00,,,,,,,,
2026-04,KPPF,day,1,1,07:00,,,,,,,,,,,,
2026-04,KPPF,day,2,1,08:05,,,,,,,,,,,,
2026-04,KPPF,day,3,1,05:50,,,,,,,,,,,,
2026-04,MIYI,meta,,,,,2,20.00,80.00,,,,,,,,
2026-04,MIYI,day,1,1,04:00,A,,,,,,,,,,,
2026-04,MIYI,day,1,2,05:00,B,,,,,,,,,,,
2026-04,MAXIMUS01,meta,,,,,2,20.00,80.00,,,,,,,,
2026-04,KKK,meta,,,,,2,20.00,80.00,,,,,,,,
2026-04,KKK,day,20,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,21,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,22,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,23,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,24,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,27,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,28,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,29,1,04:00,,,,,,,,,,,,
2026-04,KKK,day,30,1,04:00,,,,,,,,,,,,
2026-04,MISUK,meta,,,,,2,20.00,80.00,,,,,,,,
2026-04,MAKL,meta,,,,,3,33.34,33.33,33.33,,,,,,,
2026-04,MAKL,day,7,1,08:02,,,,,,,,,,,,
2026-04,MAKL,day,8,1,06:28,,,,,,,,,,,,
2026-04,MAKL,day,9,1,07:44,,,,,,,,,,,,
2026-04,MAKL,day,10,1,07:51,,,,,,,,,,,,
2026-04,MAKL,day,13,1,08:29,,,,,,,,,,,,
2026-04,MAKL,day,14,1,09:04,,,,,,,,,,,,
2026-04,MAKL,day,15,1,08:18,,,,,,,,,,,,
2026-04,MAKL,day,16,1,07:04,,,,,,,,,,,,
2026-04,MAKL,day,17,1,09:39,,,,,,,,,,,,
2026-04,MAKL,day,20,1,04:10,,,,,,,,,,,,
2026-04,MAKL,day,21,1,08:24,,,,,,,,,,,,
2026-04,MAKL,day,22,1,06:24,,,,,,,,,,,,
2026-04,MAKL,day,23,1,00:00,,,,,,,,,,,,
2026-04,MAKL,day,23,2,00:00,,,,,,,,,,,,
2026-04,MAKL,day,24,1,09:19,,,,,,,,,,,,
2026-04,MAKL,day,30,1,06:00,A,,,,,,,,,,,
